Date,TSLA
2010-06-30,-0.25146373099075986
2010-07-01,-8.172291550447511
2010-07-02,-13.431235083949971
2010-07-06,-17.547005860514584
2010-07-07,-1.9430532678024044
2010-07-08,9.990291450771378
2010-07-09,-0.3442402460710787
2010-07-12,-2.031966887617015
2010-07-13,6.196861331902906
2010-07-14,8.958123400877287
2010-07-15,0.2516718268925495
2010-07-16,3.7013900407763067
2010-07-19,5.971241690769228
2010-07-20,-7.632275442299001
2010-07-21,-0.39483866779015864
2010-07-22,3.7850170312576252
2010-07-23,1.3714810050456134
2010-07-26,-1.6098343112193245
2010-07-27,-1.927794320898038
2010-07-28,0.8238226955451973
2010-07-29,-1.8017982994436583
2010-07-30,-2.0353713922124284
2010-08-02,4.797842480726451
2010-08-03,4.806101975573991
2010-08-04,-3.1939776455123554
2010-08-05,-3.8844514238503423
2010-08-06,-4.296340075597828
2010-08-09,0.051057099781984965
2010-08-10,-2.951286819703122
2010-08-11,-6.121647193115643
2010-08-12,-1.690179888318484
2010-08-13,4.009444877227912
2010-08-16,2.4799344879834027
2010-08-17,1.9510522619141064
2010-08-18,-2.004339299486736
2010-08-19,0.1065456951836757
2010-08-20,1.636299692748129
2010-08-23,5.252320861954328
2010-08-24,-4.730098865479902
2010-08-25,3.5809689505342814
2010-08-26,-0.7566231511434989
2010-08-27,-0.25353064583443335
2010-08-30,0.8592882565097255
2010-08-31,-1.982277128451625
2010-09-01,4.859410883293745
2010-09-02,2.939290962049321
2010-09-03,-0.047525191963452
2010-09-07,-2.452630393174026
2010-09-08,1.7374907651469798
2010-09-09,-0.9131993769594804
2010-09-10,-2.6420327465234803
2010-09-13,2.6902602861424643
2010-09-14,1.9121282041197964
2010-09-15,3.9912257788235395
2010-09-16,-4.847148595401555
2010-09-17,-3.449430795979603
2010-09-20,4.020862065768829
2010-09-21,-1.3865631225686788
2010-09-22,-4.429861594322746
2010-09-23,-1.5724610817731268
2010-09-24,2.723316000951032
2010-09-27,2.1167639346159755
2010-09-28,4.150365884365805
2010-09-29,2.674157304344072
2010-09-30,-7.410749655146084
2010-10-01,0.9265601887999946
2010-10-04,1.8755079210463148
2010-10-05,0.6174557664762154
2010-10-06,-3.1748720163790636
2010-10-07,-0.14673328285522205
2010-10-08,0.0
2010-10-11,-0.9343767569021564
2010-10-12,0.0
2010-10-13,1.4713349242101763
2010-10-14,1.0172000305282398
2010-10-15,-1.017200030528235
2010-10-18,-1.520706480631345
2010-10-19,-0.8937557823546974
2010-10-20,2.9486218560218322
2010-10-21,0.48304043749245057
2010-10-22,-0.1446811027217536
2010-10-25,0.625476657510214
2010-10-26,2.4166093551225747
2010-10-27,-1.699761081106246
2010-10-28,0.9007213070734874
2010-10-29,3.021349680756585
2010-11-01,-1.9885263382160572
2010-11-02,-0.7500747425307019
2010-11-03,2.417555747528482
2010-11-04,13.433510612342841
2010-11-05,-1.8646841823652265
2010-11-08,2.1854382578352474
2010-11-09,-1.4110136378943055
2010-11-10,17.566782972265337
2010-11-11,-4.600111820879901
2010-11-12,6.2217725393375956
2010-11-15,3.1664924449755056
2010-11-16,-3.7378092132469636
2010-11-17,-0.6085254024585396
2010-11-18,1.3472920444350998
2010-11-19,3.6140441030880446
2010-11-22,7.489145263646376
2010-11-23,3.443037978248995
2010-11-24,2.570098702802671
2010-11-26,-0.42378885109137693
2010-11-29,-2.84297581496438
2010-11-30,2.8712620786185754
2010-12-01,-2.8130355976306554
2010-12-02,-5.998782924197993
2010-12-03,-2.6944273634990044
2010-12-06,-3.8192005435369087
2010-12-07,4.0412645793377
2010-12-08,2.5341524911422866
2010-12-09,-0.9934718866818897
2010-12-10,-1.6675285380512124
2010-12-13,-3.125715758083558
2010-12-14,-6.840876342229219
2010-12-15,3.6818053834859072
2010-12-16,4.006507133411576
2010-12-17,1.7694095073698624
2010-12-20,1.0783157528474736
2010-12-21,1.751168850757647
2010-12-22,1.1403762546843843
2010-12-23,-8.10390564178276
2010-12-27,-16.355577873992715
2010-12-28,3.3105763749214527
2010-12-29,4.877215719796083
2010-12-30,-4.5370127341183215
2010-12-31,0.4893312066540563
2011-01-03,-0.03752238282340227
2011-01-04,0.1876321920392849
2011-01-05,0.5981493848212535
2011-01-06,3.8388943423439437
2011-01-07,1.2829786851507314
2011-01-10,0.7408777526013746
2011-01-11,-5.379423648673667
2011-01-12,0.0
2011-01-13,-2.7831608681014153
2011-01-14,-1.8087639111639897
2011-01-18,-0.42814502781247327
2011-01-19,-6.4850355118683405
2011-01-20,-6.046856711882813
2011-01-21,1.839736308108968
2011-01-24,6.103319720196423
2011-01-25,0.7727986132952216
2011-01-26,0.2832446710137249
2011-01-27,0.6844997582764402
2011-01-28,-3.7199853782542043
2011-01-31,0.374145560340681
2011-02-01,-0.7915303865994949
2011-02-02,0.12539025402504475
2011-02-03,-1.3033793528755047
2011-02-04,-0.7220029181460512
2011-02-07,-1.6763785808061398
2011-02-08,5.9731977597302786
2011-02-09,-5.368203550905777
2011-02-10,0.04309558872247033
2011-02-11,0.12911391695114818
2011-02-14,-0.7338466663633332
2011-02-15,-1.0452997829452664
2011-02-16,7.950363352484273
2011-02-17,-4.677075425804277
2011-02-18,-1.7956875819686458
2011-02-22,-5.817384347269041
2011-02-23,-0.18308590377508294
2011-02-24,3.156279958760947
2011-02-25,4.68226144024409
2011-02-28,1.1789808632562464
2011-03-01,0.20905123070968593
2011-03-02,0.33359496609780004
2011-03-03,1.4055791763088825
2011-03-04,2.393124281418482
2011-03-07,-0.04004944622467248
2011-03-08,-1.1290632197523667
